City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,19.02,91,50,5.99,RU,1715401527
1,cururupu,-1.8283,-44.8683,73.09,100,73,0.09,BR,1715401528
2,afaahiti,-17.75,-149.2833,82.27,83,26,13.87,PF,1715401528
3,college,64.8569,-147.8028,52.12,28,75,9.22,US,1715401529
4,utrik,11.2278,169.8474,81.52,81,100,15.48,MH,1715401529
5,stanley,54.868,-1.6985,51.53,91,0,3.44,GB,1715401530
6,olonkinbyen,70.9221,-8.7187,27.01,67,85,5.82,SJ,1715401530
7,ribeira grande,38.5167,-28.7,64.78,96,90,8.01,PT,1715401531
8,codrington,-38.2667,141.9667,67.05,58,6,6.89,AU,1715401531
9,fale old settlement,-9.3852,-171.2468,85.05,74,78,9.89,TK,1715401532
10,edinburgh of the seven seas,-37.0676,-12.3116,62.98,90,100,29.33,SH,1715401532
11,waitangi,-43.9535,-176.5597,48.81,80,100,5.99,NZ,1715401533
12,albany,42.6001,-73.9662,50.31,89,100,1.05,US,1715401533
13,cidreira,-30.1811,-50.2056,62.69,95,99,10.56,BR,1715401533
14,santa vitoria do palmar,-33.5189,-53.3681,55.98,87,83,5.23,BR,1715401534
15,adamstown,-25.066,-130.1015,72.48,87,55,14.97,PN,1715401534
16,jincheng,35.5022,112.8328,75.33,11,100,12.59,CN,1715401535
17,tual,-5.6667,132.75,82.4,80,15,17.69,ID,1715401535
18,yellowknife,62.456,-114.3525,41.56,96,100,24.0,CA,1715401536
19,grytviken,-54.2811,-36.5092,31.84,88,100,8.1,GS,1715401536
20,makhambet,47.6667,51.5833,56.1,56,0,8.41,KZ,1715401536
21,invercargill,-46.4,168.35,49.01,94,90,7.0,NZ,1715401317
22,machico,32.7,-16.7667,66.83,80,20,14.97,PT,1715401537
23,rongelap,11.1635,166.8941,81.32,81,100,15.41,MH,1715401538
24,jamestown,42.097,-79.2353,46.04,90,0,1.01,US,1715401282
25,hibbing,47.4272,-92.9377,45.43,100,0,3.44,US,1715401422
26,hawaiian paradise park,19.5933,-154.9731,74.03,97,100,5.75,US,1715401539
27,margate,51.3813,1.3862,53.69,94,100,4.0,GB,1715401540
28,georgetown,5.4112,100.3354,82.33,88,40,4.61,MY,1715401468
29,port-aux-francais,-49.35,70.2167,41.07,72,21,29.77,TF,1715401540
30,kodiak,57.79,-152.4072,38.71,100,100,20.71,US,1715401541
31,pala,9.3642,14.9046,82.11,44,62,3.47,TD,1715401541
32,bethel,41.3712,-73.414,47.93,87,100,0.0,US,1715401542
33,mount gambier,-37.8333,140.7667,68.27,47,22,3.71,AU,1715401266
34,salacgriva,57.7536,24.3581,42.39,68,0,12.24,LV,1715401542
35,papatowai,-46.5619,169.4708,49.24,75,95,13.0,NZ,1715401543
36,conception bay south,47.4999,-52.9981,34.74,95,100,10.83,CA,1715401544
37,whitehorse,60.7161,-135.0538,41.77,41,100,11.5,CA,1715401544
38,port elizabeth,-33.918,25.5701,59.29,72,0,14.97,ZA,1715401545
39,zhangye,38.9342,100.4517,72.41,17,0,3.74,CN,1715401545
40,wailua homesteads,22.0669,-159.378,77.43,79,0,9.22,US,1715401546
41,vadso,70.0744,29.7487,34.68,80,100,14.97,NO,1715401546
42,figuig (centre),32.1089,-1.2286,71.46,25,100,2.08,MA,1715401546
43,alofi,-19.0595,-169.9187,76.89,69,64,11.5,NU,1715401547
44,geraldton,-28.7667,114.6,84.61,34,0,5.75,AU,1715401547
45,cambria,35.5641,-121.0808,65.14,90,25,1.52,US,1715401275
46,belmonte,-15.8631,-38.8828,76.71,89,71,4.7,BR,1715401548
47,ola,59.5833,151.2833,38.14,77,43,6.31,RU,1715401549
48,hun,29.1268,15.9477,59.95,77,0,6.35,LY,1715401549
49,sittwe,20.15,92.9,86.49,60,8,7.43,MM,1715401550
50,aasiaat,68.7098,-52.8699,13.89,91,99,3.74,GL,1715401550
